    Finished `release` profile [optimized + debuginfo] target(s) in 0.04s
     Running tests/test_bench_streaming.rs (target/release/deps/test_bench_streaming-62043a88f85b5c0a)

running 1 test
test bench_throttled_download_then_extract_grid ... [dnx]       rate    payload  format         peel   curl+extract   ratio  tools
[dnx]    10 Mbps     8.0 MiB  tar         6.436s        6.701s   0.96x  curl+tar
[dnx]    10 Mbps     8.0 MiB  tar.zst     6.442s        6.717s   0.96x  curl+zstd+tar
[dnx]    10 Mbps     8.0 MiB  tar.xz      6.699s        6.566s   1.02x  curl+xz+tar
[dnx]    10 Mbps     8.0 MiB  tar.gz      7.525s        6.715s   1.12x  curl+gzip+tar
[dnx]    10 Mbps     8.0 MiB  tar.lz4     7.070s        6.771s   1.04x  curl+lz4+tar
[dnx]    10 Mbps     8.0 MiB  zip         6.949s        6.762s   1.03x  curl+unzip
[dnx]    10 Mbps     8.0 MiB  7z          6.692s        6.742s   0.99x  curl+7z
[dnx]    10 Mbps     8.0 MiB  rar5        7.204s        6.720s   1.07x  curl+unrar
[dnx]    10 Mbps     8.0 MiB  rar3        7.478s        6.773s   1.10x  curl+unrar
[dnx]   100 Mbps    32.0 MiB  tar         2.555s        2.751s   0.93x  curl+tar
[dnx]   100 Mbps    32.0 MiB  tar.zst     2.556s        2.755s   0.93x  curl+zstd+tar
[dnx]   100 Mbps    32.0 MiB  tar.xz      2.505s        3.045s   0.82x  curl+xz+tar
[dnx]   100 Mbps    32.0 MiB  tar.gz      2.554s        2.766s   0.92x  curl+gzip+tar
[dnx]   100 Mbps    32.0 MiB  tar.lz4     2.554s        2.750s   0.93x  curl+lz4+tar
[dnx]   100 Mbps    32.0 MiB  zip         2.556s        2.848s   0.90x  curl+unzip
[dnx]   100 Mbps    32.0 MiB  7z          2.570s        2.776s   0.93x  curl+7z
[dnx]   100 Mbps    32.0 MiB  rar5        2.629s        2.753s   0.95x  curl+unrar
[dnx]   100 Mbps    32.0 MiB  rar3        2.842s        2.949s   0.96x  curl+unrar
[dnx]     1 Gbps   128.0 MiB  tar         0.857s        1.191s   0.72x  curl+tar
[dnx]     1 Gbps   128.0 MiB  tar.zst     0.858s        1.189s   0.72x  curl+zstd+tar
[dnx]     1 Gbps   128.0 MiB  tar.xz      2.730s        3.539s   0.77x  curl+xz+tar
[dnx]     1 Gbps   128.0 MiB  tar.gz      0.860s        1.202s   0.72x  curl+gzip+tar
[dnx]     1 Gbps   128.0 MiB  tar.lz4     0.864s        1.207s   0.72x  curl+lz4+tar
[dnx]     1 Gbps   128.0 MiB  zip         0.860s        1.496s   0.57x  curl+unzip
[dnx]     1 Gbps   128.0 MiB  7z          0.879s        1.155s   0.76x  curl+7z
[dnx]     1 Gbps   128.0 MiB  rar5        1.082s        1.156s   0.94x  curl+unrar
[dnx]     1 Gbps   128.0 MiB  rar3        1.882s        1.910s   0.99x  curl+unrar
[dnx]    10 Gbps   256.0 MiB  tar         0.232s        0.343s   0.67x  curl+tar
[dnx]    10 Gbps   256.0 MiB  tar.zst     0.217s        0.383s   0.57x  curl+zstd+tar
[dnx]    10 Gbps   256.0 MiB  tar.xz      5.852s        6.021s   0.97x  curl+xz+tar
[dnx]    10 Gbps   256.0 MiB  tar.gz      0.232s        0.378s   0.61x  curl+gzip+tar
[dnx]    10 Gbps   256.0 MiB  tar.lz4     0.221s        0.380s   0.58x  curl+lz4+tar
[dnx]    10 Gbps   256.0 MiB  zip         0.226s        0.979s   0.23x  curl+unzip
[dnx]    10 Gbps   256.0 MiB  7z          0.228s        0.306s   0.75x  curl+7z
[dnx]    10 Gbps   256.0 MiB  rar5        0.721s        0.295s   2.45x  curl+unrar
[dnx]    10 Gbps   256.0 MiB  rar3        2.334s        1.804s   1.29x  curl+unrar
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 12 filtered out; finished in 309.66s

